plot,subplot,av.canopy,landform,seedling.2016
M33,M33.1,92.16,ridge,6
M33,M33.2,92.16,ridge,7
M33,M33.3,92.16,ridge,5
M34,M34.1,92.33,ridge,2
M34,M34.2,92.33,ridge,5
M34,M34.3,92.33,ridge,4
M26,M26.1,94.8,ridge,4
M26,M26.2,94.8,ridge,6
M26,M26.3,94.8,ridge,4
M14,M14.1,94.6,ridge,0
M14,M14.2,94.6,ridge,0
M14,M14.3,94.6,ridge,0
M10,M10.1,95,ridge,5
M10,M10.2,95,ridge,18
M10,M10.3,95,ridge,2
LC1,LC1.1,93.5,ridge,18
LC1,LC1.2,93.5,ridge,18
LC1,LC1.3,93.5,ridge,59
HD2,HD2.1,96.6,ridge,123
HD2,HD2.2,96.6,ridge,9
HD2,HD2.3,96.6,ridge,40
LC2,LC2.1,97.75,temp,0
LC2,LC2.2,97.75,temp,0
LC2,LC2.3,97.75,temp,0
LC5,LC5.1,96.25,temp,0
LC5,LC5.2,96.25,temp,0
LC5,LC5.3,96.25,temp,0
LC6,LC6.1,98.25,temp,0
LC6,LC6.2,98.25,temp,0
LC6,LC6.3,98.25,temp,0
M11,M11.1,95,temp,0
M11,M11.2,95,temp,0
M11,M11.3,95,temp,0
M27,M27.1,95.2,temp,0
M27,M27.2,95.2,temp,0
M27,M27.3,95.2,temp,0
M13,M13.1,96.25,temp,0
M13,M13.2,96.25,temp,0
M13,M13.3,96.25,temp,0
M9,M9.1,96.25,abandoned,0
M9,M9.2,96.25,abandoned,0
M9,M9.3,96.25,abandoned,0
M36,M36.1,96.08,abandoned,0
M36,M36.2,96.08,abandoned,0
M36,M36.3,96.08,abandoned,0
M8,M8.1,25,abandoned,0
M8,M8.2,25,abandoned,0
M8,M8.3,25,abandoned,0
M23,M23.1,5,abandoned,0
M23,M23.2,5,abandoned,0
M23,M23.3,5,abandoned,0
M24,M24.1,10,abandoned,0
M24,M24.2,10,abandoned,0
M24,M24.3,10,abandoned,0
M29,M29.1,5,abandoned,0
M29,M29.2,5,abandoned,0
M29,M29.3,5,abandoned,0
M30,M30.1,5,abandoned,0
M30,M30.2,5,abandoned,0
M30,M30.3,5,abandoned,0
